nohup: can't execute './tests1.sh': Exec format error
NetBenchWithContention_O3_native_2b
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
Kind (np=2)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^6	0.000080	6.374346
Send/Recv	2^7	0.000083	12.404089
Send/Recv	2^8	0.000128	16.056241
Send/Recv	2^9	0.000151	27.092453
Send/Recv	2^10	0.000160	51.245807
Send/Recv	2^11	0.000312	52.532267
Send/Recv	2^12	0.000545	60.071088
Send/Recv	2^13	0.001301	50.380045
Send/Recv	2^14	0.002335	56.142384
Send/Recv	2^15	0.004409	59.462089
Send/Recv	2^16	0.009308	56.328604
Send/Recv	2^17	0.018580	56.434835
Send/Recv	2^18	0.036460	57.518602
Send/Recv	2^19	0.073554	57.023616
Send/Recv	2^20	0.148479	56.496925
Send/Recv	2^21	0.297325	56.427164
Send/Recv	2^22	0.595314	56.364220
NetBenchWithContention_O3_native_8
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=8)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000079	0.101249
Send/Recv	2^1	0.000074	0.217189
Send/Recv	2^2	0.000080	0.402374
Send/Recv	2^3	0.000080	0.803087
Send/Recv	2^4	0.000080	1.608776
Send/Recv	2^5	0.000079	3.221218
Send/Recv	2^6	0.000079	6.477801
Send/Recv	2^7	0.000084	12.222904
Send/Recv	2^8	0.000112	18.297205
Send/Recv	2^9	0.000156	26.213136
Send/Recv	2^10	0.000159	51.627384
Send/Recv	2^11	0.000310	52.829120
Send/Recv	2^12	0.000685	47.817961
Send/Recv	2^13	0.002106	31.112238
Send/Recv	2^14	0.004013	32.658386
Send/Recv	2^15	0.008640	30.341095
Send/Recv	2^16	0.018263	28.707300
Send/Recv	2^17	0.036924	28.398275
Send/Recv	2^18	0.073970	28.351482
Send/Recv	2^19	0.148564	28.232301
Send/Recv	2^20	0.297262	28.219596
Send/Recv	2^21	0.594679	28.212234
Send/Recv	2^22	1.190013	28.196699
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=8)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000079	0.101389
Send/Recv	2^1	0.000079	0.202828
Send/Recv	2^2	0.000079	0.405236
Send/Recv	2^3	0.000079	0.809211
Send/Recv	2^4	0.000079	1.610367
Send/Recv	2^5	0.000081	3.166075
Send/Recv	2^6	0.000079	6.468893
Send/Recv	2^7	0.000082	12.452552
Send/Recv	2^8	0.000115	17.862257
Send/Recv	2^9	0.000136	30.189452
Send/Recv	2^10	0.000178	45.999724
Send/Recv	2^11	0.000286	57.370064
Send/Recv	2^12	0.000725	45.188205
Send/Recv	2^13	0.002080	31.504337
Send/Recv	2^14	0.003894	33.659722
Send/Recv	2^15	0.008566	30.603811
Send/Recv	2^16	0.017706	29.610772
Send/Recv	2^17	0.036361	28.838238
Send/Recv	2^18	0.074020	28.332231
Send/Recv	2^19	0.148494	28.245539
Send/Recv	2^20	0.297119	28.233156
Send/Recv	2^21	0.595159	28.189462
Send/Recv	2^22	1.190265	28.190723
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=8)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000064	0.124857
Send/Recv	2^1	0.000079	0.201536
Send/Recv	2^2	0.000079	0.402869
Send/Recv	2^3	0.000080	0.803540
Send/Recv	2^4	0.000079	1.610740
Send/Recv	2^5	0.000079	3.221171
Send/Recv	2^6	0.000079	6.464350
Send/Recv	2^7	0.000082	12.489675
Send/Recv	2^8	0.000118	17.323757
Send/Recv	2^9	0.000155	26.469700
Send/Recv	2^10	0.000160	51.266472
Send/Recv	2^11	0.000313	52.375340
Send/Recv	2^12	0.001012	32.374856
Send/Recv	2^13	0.002263	28.963679
Send/Recv	2^14	0.004282	30.606511
Send/Recv	2^15	0.008788	29.828164
Send/Recv	2^16	0.018301	28.648006
Send/Recv	2^17	0.036090	29.054236
Send/Recv	2^18	0.074155	28.280764
Send/Recv	2^19	0.148354	28.272330
Send/Recv	2^20	0.297292	28.216728
Send/Recv	2^21	0.595251	28.185121
Send/Recv	2^22	1.190107	28.194471
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
